word_kz,translation_ru,transcription,example_sentence
мен,я,,Мен студентпін.
сен,ты,,Сен қайда бардың?
ол,он/она,,Ол мектепте оқиды.
біз,мы,,Біз үйдеміз.
сіз,вы,,Сіз қалайсыз?
олар,они,,Олар келді.
сәлем,привет,,Сәлем! Қалыңыз қалай?
сәлеметсіз бе,здравствуйте,,Сәлеметсіз бе!
рақмет,спасибо,,Рақмет сізге!
қош келдіңіз,добро пожаловать,,Қош келдіңіз!
бір,один,,Бір кітап.
екі,два,,Екі адам.
үш,три,,Үш бала.
төрт,четыре,,Төрт күн.
бес,пять,,Бес сағат.
алты,шесть,,Алты жұмыс.
жеті,семь,,Жеті күн.
сегіз,восемь,,Сегіз ай.
тоғыз,девять,,Тоғыз жыл.
он,десять,,Он минут.
дүйсенбі,понедельник,,Дүйсенбі күні.
сейсенбі,вторник,,Сейсенбі сабақ бар.
сәрсенбі,среда,,Сәрсенбі кешке.
бейсенбі,четверг,,Бейсенбі жақсы күн.
жұма,пятница,,Жұма демалыс.
сенбі,суббота,,Сенбі күні үйде.
жексенбі,воскресенье,,Жексенбі демалыс күні.
ауа райы,погода,,Бүгін ауа райы жақсы.
жаңбыр,дождь,,Жаңбыр жауып тұр.
қар,снег,,Қыста қар жауады.
келу,приходить,,Ол келеді.
бару,идти,,Мен мектепке барамын.
істеу,делать,,Не істеп жатырсың?
оқу,читать,,Мен кітап оқимын.
жазу,писать,,Хат жазыңыз.
жеу,есть,,Тамақ жеймін.
ішу,пить,,Шай ішемін.
адам,человек,,Адам баласы.
үй,дом,,Үй үлкен.
кітап,книга,,Кітап қызықты.
су,вода,,Су ішіңіз.
қала,город,,Алматы үлкен қала.
мәдениет,культура,,Қазақ мәдениеті бай.
тарих,история,,Тарихты оқыңыз.
тіл,язык,,Қазақ тілі әдемі.
білім,знание,,Білім - билік.
жұмыс,работа,,Жұмыс істеймін.
оқушы,ученик,,Оқушылар сабақта.
мұғалім,учитель,,Мұғалім түсіндірді.
дәстүр,традиция,,Қазақ дәстүрлері.
махаббат,любовь,,Махаббат үлкен күш.
бақыт,счастье,,Бақытты болыңыз!
қайғы,горе,,Оның қайғысы үлкен.
қорқыныш,страх,,Қорқыныш жоқ.
келісім,согласие,,Келісімге келдік.
табыс,успех,,Табыс тілеймін.
мақсат,цель,,Мақсат анық.
мүмкіндік,возможность,,Мүмкіндік бар.
міндет,обязанность,,Бұл менің міндетім.
идея,идея,,Жақсы идея!
кеңес,совет,,Кеңес беріңіз.
сұрақ,вопрос,,Сұрақ қойыңыз.
жауап,ответ,,Жауап беріңіз.
жоспар,план,,Жоспар жасаңыз.
жоба,проект,,Жоба үлкен.
пайда,польза,,Бұл пайдалы.
зат,вещь,,Бұл зат қажет.
өмір,жизнь,,Өмір ұзақ.
